id,material,name ,band ,clearanceFeeExport,priceImport,clearanceFee,priceFull,type,priceExport,note
92028,[01012100] ќнжб √’нб… бб√д”«б,ќнжб √’нб… бб√д”«б,1012100,2,225,75,300,Џѕѕ,0,
92029,[01012900] џн—е«,џн—е«,1012900,2,225,75,300,Џѕѕ,0,
92030,[01013000] Ќгн—,Ќгн—,1013000,2,40,13,53,Џѕѕ,0,
92031,"[01019000] ќнжб жЌгн— ж»џ«б ждџ«б? Ќн…. Џѕ« (Џѕ« «бЏ—ё «бдён бб√д”«б),","ќнжб жЌгн— ж»џ«б ждџ«б? Ќн…. Џѕ« (Џѕ« «бЏ—ё «бдён бб√д”«б),",1019000,2,40,13,53,Џѕѕ,0,
92032,[01022100] «»ё«— «бнЁ… «’нб… бб«д”«б,«»ё«— «бнЁ… «’нб… бб«д”«б,1022100,2,40,13,53,Џѕѕ,0,
92033,[01022900] џн—е«,џн—е«,1022900,2,40,13,53,Џѕѕ,0,
92034,[01023100] ћж«гн” √’нб… бб«д”«б,ћж«гн” √’нб… бб«д”«б,1023100,2,40,13,53,Џѕѕ,0,
92035,[01023900] џн—е«,џн—е«,1023900,2,40,13,53,Џѕѕ,0,
92036,"[01029000] Ќнж«д«  Ќн… гд Ё’нб… «б√»ё«— Џѕ« «(Џѕ« «бЏ—ё «бдён бб√д”«б),","Ќнж«д«  Ќн… гд Ё’нб… «б√»ё«— Џѕ« «(Џѕ« «бЏ—ё «бдён бб√д”«б),",1029000,2,40,13,53,Џѕѕ,0,
92037,[01041000] Ќнж«д«  гд Ё’нб… ÷√д Ќн….,Ќнж«д«  гд Ё’нб… ÷√д Ќн….,1041000,2,5,2,7,Џѕѕ,0,
92038,[01042000] Ќнж«д«  гд Ё’нб… г«Џ“ Ќн….,Ќнж«д«  гд Ё’нб… г«Џ“ Ќн….,1042000,2,5,2,7,Џѕѕ,0,
92039,"[01051100] ѕж«ћд, гд Ё’нб… џ«бж” ѕжг” ня«”""Gallus Domesticus"" »ж“д б«н“нѕ Џд 185 џ.","ѕж«ћд, гд Ё’нб… џ«бж” ѕжг” ня«”""Gallus Domesticus"" »ж“д б«н“нѕ Џд 185 џ.",1051100,2,0.07,0.02,0.1,Џѕѕ,0,
92040,"[01051200] ѕнжя жѕћ«ћ —жгн »ж“д б«н“нѕ Џд 185 џ.

",ѕнжя жѕћ«ћ —жгн »ж“д б«н“нѕ Џд 185 џ.,1051200,2,0.07,0.02,0.1,Џѕѕ,0,
92041,[01051300] »Ў »ж“д б«н“нѕ Џд 185 џ.,»Ў »ж“д б«н“нѕ Џд 185 џ.,1051300,2,0.07,0.02,0.1,Џѕѕ,0,
