"id","ston_import","ston_import_notes","ston_export","ston_export_notes","id_stone_id","ston_export_en","ston_export_notes_en","ston_import_en","ston_import_notes_en"
"1","يجب عرضها على الحجر الصحي النباتي في أول منفذ حدودي  من أجل إجراء الكشف اللازم عليها وسحب العينات وفحصها وتأشير بياناتها من قبل فنيي وقاية النبات المفوضين في حال مطابقتها  لتعليمات  الحجر الصحي النباتي ، مع وجوب تقديم الشهادة الصحية النباتية الأصلية + صورة عن شهادة المنشأ مدون عليها عبارة(صورة طبق الأصل) أو (الأصل محفوظ لدينا)  ممهورة بخاتم الأمانة الجمركية المعنية + إذن الاستيراد الحجري + صورة عن بوليصة الشحن ","يجب ان يكون اذن الاستيراد الحجري سابقاً لتاريخ إصدار الشهادة الصحية النباتية وشهادة المنشأ وبوليصة الشحن","هذه المادة يجب عرضها  على فنيي وقاية النبات المفوضين (الحجر الصحي النباتي)في المنافذ الحدودية والأمانات الداخلية و المطارات والموانئ للكشف عليها  و سحب العينات وتأشير بياناتها بما يفيد مطابقتها  لتعليمات الحجر الصحي النباتي","تمنح شهادة صحية نباتية أصولاً ، مع التأكيد على مطابقة الإرسالية لمتطلبات الصحة النباتية في البلد المستورد إن قدمت من قبل صاحب العلاقة. ","06011000","This material must be presented to authorized plant protection technicians (plant quarantine) at border crossings, internal secretariats, airports, and ports to inspect it, withdraw samples, and mark their data to indicate their compliance with plant quarantine instructions."," A duly issued phytosanitary certificate is issued, confirming that the consignment conforms to the phytosanitary requirements of the importing country if submitted by the concerned party."," It must be presented to the plant quarantine at the first border port in order to conduct the necessary examination on it, withdraw samples, examine it, and mark its data by authorized plant protection technicians if it conforms to the plant quarantine instructions. The original plant health certificate must be presented + a copy of the certificate of origin with the phrase written on it. (An exact copy) or (the original is kept with us) stamped with the stamp of the relevant customs secretariat + stone import permit + a copy of the bill of lading","The stone import permit must be prior to the date of issuance of the phytosanitary certificate, certificate of origin, and bill of lading"
"2","يجب عرضها على الحجر الصحي النباتي في أول منفذ حدودي  من أجل إجراء الكشف اللازم عليها وسحب العينات وفحصها وتأشير بياناتها من قبل فنيي وقاية النبات المفوضين في حال مطابقتها  لتعليمات  الحجر الصحي النباتي ، مع وجوب تقديم الشهادة الصحية النباتية الأصلية + صورة عن شهادة المنشأ مدون عليها عبارة(صورة طبق الأصل) أو (الأصل محفوظ لدينا)  ممهورة بخاتم الأمانة الجمركية المعنية + إذن الاستيراد الحجري + صورة عن بوليصة الشحن ","يجب ان يكون اذن الاستيراد الحجري سابقاً لتاريخ إصدار الشهادة الصحية النباتية وشهادة المنشأ وبوليصة الشحن","هذه المادة يجب عرضها  على فنيي وقاية النبات المفوضين (الحجر الصحي النباتي)في المنافذ الحدودية والأمانات الداخلية و المطارات والموانئ للكشف عليها  و سحب العينات وتأشير بياناتها بما يفيد مطابقتها  لتعليمات الحجر الصحي النباتي","تمنح شهادة صحية نباتية أصولاً ، مع التأكيد على مطابقة الإرسالية لمتطلبات الصحة النباتية في البلد المستورد إن قدمت من قبل صاحب العلاقة. ","06012000","This material must be presented to authorized plant protection technicians (plant quarantine) at border crossings, internal secretariats, airports, and ports to inspect it, withdraw samples, and mark their data to indicate their compliance with plant quarantine instructions."," A duly issued phytosanitary certificate is issued, confirming that the consignment conforms to the phytosanitary requirements of the importing country if submitted by the concerned party."," It must be presented to the plant quarantine at the first border port in order to conduct the necessary examination on it, withdraw samples, examine it, and mark its data by authorized plant protection technicians if it conforms to the plant quarantine instructions. The original plant health certificate must be presented + a copy of the certificate of origin with the phrase written on it. (An exact copy) or (the original is kept with us) stamped with the stamp of the relevant customs secretariat + stone import permit + a copy of the bill of lading","The stone import permit must be prior to the date of issuance of the phytosanitary certificate, certificate of origin, and bill of lading"
"3","يجب عرضها على الحجر الصحي النباتي في أول منفذ حدودي  من أجل إجراء الكشف اللازم عليها وسحب العينات وفحصها وتأشير بياناتها من قبل فنيي وقاية النبات المفوضين في حال مطابقتها  لتعليمات  الحجر الصحي النباتي ، مع وجوب تقديم الشهادة الصحية النباتية الأصلية + صورة عن شهادة المنشأ مدون عليها عبارة(صورة طبق الأصل) أو (الأصل محفوظ لدينا)  ممهورة بخاتم الأمانة الجمركية المعنية + إذن الاستيراد الحجري + صورة عن بوليصة الشحن ","يجب ان يكون اذن الاستيراد الحجري سابقاً لتاريخ إصدار الشهادة الصحية النباتية وشهادة المنشأ وبوليصة الشحن","هذه المادة يجب عرضها  على فنيي وقاية النبات المفوضين (الحجر الصحي النباتي)في المنافذ الحدودية والأمانات الداخلية و المطارات والموانئ للكشف عليها  و سحب العينات وتأشير بياناتها بما يفيد مطابقتها  لتعليمات الحجر الصحي النباتي","تمنح شهادة صحية نباتية أصولاً ، مع التأكيد على مطابقة الإرسالية لمتطلبات الصحة النباتية في البلد المستورد إن قدمت من قبل صاحب العلاقة. ","06021000","This material must be presented to authorized plant protection technicians (plant quarantine) at border crossings, internal secretariats, airports, and ports to inspect it, withdraw samples, and mark their data to indicate their compliance with plant quarantine instructions."," A duly issued phytosanitary certificate is issued, confirming that the consignment conforms to the phytosanitary requirements of the importing country if submitted by the concerned party."," It must be presented to the plant quarantine at the first border port in order to conduct the necessary examination on it, withdraw samples, examine it, and mark its data by authorized plant protection technicians if it conforms to the plant quarantine instructions. The original plant health certificate must be presented + a copy of the certificate of origin with the phrase written on it. (An exact copy) or (the original is kept with us) stamped with the stamp of the relevant customs secretariat + stone import permit + a copy of the bill of lading","The stone import permit must be prior to the date of issuance of the phytosanitary certificate, certificate of origin, and bill of lading"
"4","يجب عرضها على الحجر الصحي النباتي في أول منفذ حدودي  من أجل إجراء الكشف اللازم عليها وسحب العينات وفحصها وتأشير بياناتها من قبل فنيي وقاية النبات المفوضين في حال مطابقتها  لتعليمات  الحجر الصحي النباتي ، مع وجوب تقديم الشهادة الصحية النباتية الأصلية + صورة عن شهادة المنشأ مدون عليها عبارة(صورة طبق الأصل) أو (الأصل محفوظ لدينا)  ممهورة بخاتم الأمانة الجمركية المعنية + إذن الاستيراد الحجري + صورة عن بوليصة الشحن ","يجب ان يكون اذن الاستيراد الحجري سابقاً لتاريخ إصدار الشهادة الصحية النباتية وشهادة المنشأ وبوليصة الشحن","هذه المادة يجب عرضها  على فنيي وقاية النبات المفوضين (الحجر الصحي النباتي)في المنافذ الحدودية والأمانات الداخلية و المطارات والموانئ للكشف عليها  و سحب العينات وتأشير بياناتها بما يفيد مطابقتها  لتعليمات الحجر الصحي النباتي","تمنح شهادة صحية نباتية أصولاً ، مع التأكيد على مطابقة الإرسالية لمتطلبات الصحة النباتية في البلد المستورد إن قدمت من قبل صاحب العلاقة. ","06022000","This material must be presented to authorized plant protection technicians (plant quarantine) at border crossings, internal secretariats, airports, and ports to inspect it, withdraw samples, and mark their data to indicate their compliance with plant quarantine instructions."," A duly issued phytosanitary certificate is issued, confirming that the consignment conforms to the phytosanitary requirements of the importing country if submitted by the concerned party."," It must be presented to the plant quarantine at the first border port in order to conduct the necessary examination on it, withdraw samples, examine it, and mark its data by authorized plant protection technicians if it conforms to the plant quarantine instructions. The original plant health certificate must be presented + a copy of the certificate of origin with the phrase written on it. (An exact copy) or (the original is kept with us) stamped with the stamp of the relevant customs secretariat + stone import permit + a copy of the bill of lading","The stone import permit must be prior to the date of issuance of the phytosanitary certificate, certificate of origin, and bill of lading"
"5","يجب عرضها على الحجر الصحي النباتي في أول منفذ حدودي  من أجل إجراء الكشف اللازم عليها وسحب العينات وفحصها وتأشير بياناتها من قبل فنيي وقاية النبات المفوضين في حال مطابقتها  لتعليمات  الحجر الصحي النباتي ، مع وجوب تقديم الشهادة الصحية النباتية الأصلية + صورة عن شهادة المنشأ مدون عليها عبارة(صورة طبق الأصل) أو (الأصل محفوظ لدينا)  ممهورة بخاتم الأمانة الجمركية المعنية + إذن الاستيراد الحجري + صورة عن بوليصة الشحن ","يجب ان يكون اذن الاستيراد الحجري سابقاً لتاريخ إصدار الشهادة الصحية النباتية وشهادة المنشأ وبوليصة الشحن","هذه المادة يجب عرضها  على فنيي وقاية النبات المفوضين (الحجر الصحي النباتي)في المنافذ الحدودية والأمانات الداخلية و المطارات والموانئ للكشف عليها  و سحب العينات وتأشير بياناتها بما يفيد مطابقتها  لتعليمات الحجر الصحي النباتي","تمنح شهادة صحية نباتية أصولاً ، مع التأكيد على مطابقة الإرسالية لمتطلبات الصحة النباتية في البلد المستورد إن قدمت من قبل صاحب العلاقة. ","06023000","This material must be presented to authorized plant protection technicians (plant quarantine) at border crossings, internal secretariats, airports, and ports to inspect it, withdraw samples, and mark their data to indicate their compliance with plant quarantine instructions."," A duly issued phytosanitary certificate is issued, confirming that the consignment conforms to the phytosanitary requirements of the importing country if submitted by the concerned party."," It must be presented to the plant quarantine at the first border port in order to conduct the necessary examination on it, withdraw samples, examine it, and mark its data by authorized plant protection technicians if it conforms to the plant quarantine instructions. The original plant health certificate must be presented + a copy of the certificate of origin with the phrase written on it. (An exact copy) or (the original is kept with us) stamped with the stamp of the relevant customs secretariat + stone import permit + a copy of the bill of lading","The stone import permit must be prior to the date of issuance of the phytosanitary certificate, certificate of origin, and bill of lading"
"6","يجب عرضها على الحجر الصحي النباتي في أول منفذ حدودي  من أجل إجراء الكشف اللازم عليها وسحب العينات وفحصها وتأشير بياناتها من قبل فنيي وقاية النبات المفوضين في حال مطابقتها  لتعليمات  الحجر الصحي النباتي ، مع وجوب تقديم الشهادة الصحية النباتية الأصلية + صورة عن شهادة المنشأ مدون عليها عبارة(صورة طبق الأصل) أو (الأصل محفوظ لدينا)  ممهورة بخاتم الأمانة الجمركية المعنية + إذن الاستيراد الحجري + صورة عن بوليصة الشحن ","يجب ان يكون اذن الاستيراد الحجري سابقاً لتاريخ إصدار الشهادة الصحية النباتية وشهادة المنشأ وبوليصة الشحن","هذه المادة يجب عرضها  على فنيي وقاية النبات المفوضين (الحجر الصحي النباتي)في المنافذ الحدودية والأمانات الداخلية و المطارات والموانئ للكشف عليها  و سحب العينات وتأشير بياناتها بما يفيد مطابقتها  لتعليمات الحجر الصحي النباتي","تمنح شهادة صحية نباتية أصولاً ، مع التأكيد على مطابقة الإرسالية لمتطلبات الصحة النباتية في البلد المستورد إن قدمت من قبل صاحب العلاقة. ","06024000","This material must be presented to authorized plant protection technicians (plant quarantine) at border crossings, internal secretariats, airports, and ports to inspect it, withdraw samples, and mark their data to indicate their compliance with plant quarantine instructions."," A duly issued phytosanitary certificate is issued, confirming that the consignment conforms to the phytosanitary requirements of the importing country if submitted by the concerned party."," It must be presented to the plant quarantine at the first border port in order to conduct the necessary examination on it, withdraw samples, examine it, and mark its data by authorized plant protection technicians if it conforms to the plant quarantine instructions. The original plant health certificate must be presented + a copy of the certificate of origin with the phrase written on it. (An exact copy) or (the original is kept with us) stamped with the stamp of the relevant customs secretariat + stone import permit + a copy of the bill of lading","The stone import permit must be prior to the date of issuance of the phytosanitary certificate, certificate of origin, and bill of lading"
"7","يجب عرضها على الحجر الصحي النباتي في أول منفذ حدودي  من أجل إجراء الكشف اللازم عليها وسحب العينات وفحصها وتأشير بياناتها من قبل فنيي وقاية النبات المفوضين في حال مطابقتها  لتعليمات  الحجر الصحي النباتي ، مع وجوب تقديم الشهادة الصحية النباتية الأصلية + صورة عن شهادة المنشأ مدون عليها عبارة(صورة طبق الأصل) أو (الأصل محفوظ لدينا)  ممهورة بخاتم الأمانة الجمركية المعنية + إذن الاستيراد الحجري + صورة عن بوليصة الشحن ","يجب ان يكون اذن الاستيراد الحجري سابقاً لتاريخ إصدار الشهادة الصحية النباتية وشهادة المنشأ وبوليصة الشحن","هذه المادة يجب عرضها  على فنيي وقاية النبات المفوضين (الحجر الصحي النباتي)في المنافذ الحدودية والأمانات الداخلية و المطارات والموانئ للكشف عليها  و سحب العينات وتأشير بياناتها بما يفيد مطابقتها  لتعليمات الحجر الصحي النباتي","تمنح شهادة صحية نباتية أصولاً ، مع التأكيد على مطابقة الإرسالية لمتطلبات الصحة النباتية في البلد المستورد إن قدمت من قبل صاحب العلاقة. ","06029000","This material must be presented to authorized plant protection technicians (plant quarantine) at border crossings, internal secretariats, airports, and ports to inspect it, withdraw samples, and mark their data to indicate their compliance with plant quarantine instructions."," A duly issued phytosanitary certificate is issued, confirming that the consignment conforms to the phytosanitary requirements of the importing country if submitted by the concerned party."," It must be presented to the plant quarantine at the first border port in order to conduct the necessary examination on it, withdraw samples, examine it, and mark its data by authorized plant protection technicians if it conforms to the plant quarantine instructions. The original plant health certificate must be presented + a copy of the certificate of origin with the phrase written on it. (An exact copy) or (the original is kept with us) stamped with the stamp of the relevant customs secretariat + stone import permit + a copy of the bill of lading","The stone import permit must be prior to the date of issuance of the phytosanitary certificate, certificate of origin, and bill of lading"
"8","يجب عرضها على الحجر الصحي النباتي في أول منفذ حدودي  من أجل إجراء الكشف اللازم عليها وسحب العينات وفحصها وتأشير بياناتها من قبل فنيي وقاية النبات المفوضين في حال مطابقتها  لتعليمات  الحجر الصحي النباتي ، مع وجوب تقديم الشهادة الصحية النباتية الأصلية + صورة عن شهادة المنشأ مدون عليها عبارة(صورة طبق الأصل) أو (الأصل محفوظ لدينا)  ممهورة بخاتم الأمانة الجمركية المعنية + إذن الاستيراد الحجري + صورة عن بوليصة الشحن ","يجب ان يكون اذن الاستيراد الحجري سابقاً لتاريخ إصدار الشهادة الصحية النباتية وشهادة المنشأ وبوليصة الشحن","هذه المادة يجب عرضها  على فنيي وقاية النبات المفوضين (الحجر الصحي النباتي)في المنافذ الحدودية والأمانات الداخلية و المطارات والموانئ للكشف عليها  و سحب العينات وتأشير بياناتها بما يفيد مطابقتها  لتعليمات الحجر الصحي النباتي","تمنح شهادة صحية نباتية أصولاً ، مع التأكيد على مطابقة الإرسالية لمتطلبات الصحة النباتية في البلد المستورد إن قدمت من قبل صاحب العلاقة. ","06031100","This material must be presented to authorized plant protection technicians (plant quarantine) at border crossings, internal secretariats, airports, and ports to inspect it, withdraw samples, and mark their data to indicate their compliance with plant quarantine instructions."," A duly issued phytosanitary certificate is issued, confirming that the consignment conforms to the phytosanitary requirements of the importing country if submitted by the concerned party."," It must be presented to the plant quarantine at the first border port in order to conduct the necessary examination on it, withdraw samples, examine it, and mark its data by authorized plant protection technicians if it conforms to the plant quarantine instructions. The original plant health certificate must be presented + a copy of the certificate of origin with the phrase written on it. (An exact copy) or (the original is kept with us) stamped with the stamp of the relevant customs secretariat + stone import permit + a copy of the bill of lading","The stone import permit must be prior to the date of issuance of the phytosanitary certificate, certificate of origin, and bill of lading"
"9","يجب عرضها على الحجر الصحي النباتي في أول منفذ حدودي  من أجل إجراء الكشف اللازم عليها وسحب العينات وفحصها وتأشير بياناتها من قبل فنيي وقاية النبات المفوضين في حال مطابقتها  لتعليمات  الحجر الصحي النباتي ، مع وجوب تقديم الشهادة الصحية النباتية الأصلية + صورة عن شهادة المنشأ مدون عليها عبارة(صورة طبق الأصل) أو (الأصل محفوظ لدينا)  ممهورة بخاتم الأمانة الجمركية المعنية + إذن الاستيراد الحجري + صورة عن بوليصة الشحن ","يجب ان يكون اذن الاستيراد الحجري سابقاً لتاريخ إصدار الشهادة الصحية النباتية وشهادة المنشأ وبوليصة الشحن","هذه المادة يجب عرضها  على فنيي وقاية النبات المفوضين (الحجر الصحي النباتي)في المنافذ الحدودية والأمانات الداخلية و المطارات والموانئ للكشف عليها  و سحب العينات وتأشير بياناتها بما يفيد مطابقتها  لتعليمات الحجر الصحي النباتي","تمنح شهادة صحية نباتية أصولاً ، مع التأكيد على مطابقة الإرسالية لمتطلبات الصحة النباتية في البلد المستورد إن قدمت من قبل صاحب العلاقة. ","06031200","This material must be presented to authorized plant protection technicians (plant quarantine) at border crossings, internal secretariats, airports, and ports to inspect it, withdraw samples, and mark their data to indicate their compliance with plant quarantine instructions."," A duly issued phytosanitary certificate is issued, confirming that the consignment conforms to the phytosanitary requirements of the importing country if submitted by the concerned party."," It must be presented to the plant quarantine at the first border port in order to conduct the necessary examination on it, withdraw samples, examine it, and mark its data by authorized plant protection technicians if it conforms to the plant quarantine instructions. The original plant health certificate must be presented + a copy of the certificate of origin with the phrase written on it. (An exact copy) or (the original is kept with us) stamped with the stamp of the relevant customs secretariat + stone import permit + a copy of the bill of lading","The stone import permit must be prior to the date of issuance of the phytosanitary certificate, certificate of origin, and bill of lading"
"10","يجب عرضها على الحجر الصحي النباتي في أول منفذ حدودي  من أجل إجراء الكشف اللازم عليها وسحب العينات وفحصها وتأشير بياناتها من قبل فنيي وقاية النبات المفوضين في حال مطابقتها  لتعليمات  الحجر الصحي النباتي ، مع وجوب تقديم الشهادة الصحية النباتية الأصلية + صورة عن شهادة المنشأ مدون عليها عبارة(صورة طبق الأصل) أو (الأصل محفوظ لدينا)  ممهورة بخاتم الأمانة الجمركية المعنية + إذن الاستيراد الحجري + صورة عن بوليصة الشحن ","يجب ان يكون اذن الاستيراد الحجري سابقاً لتاريخ إصدار الشهادة الصحية النباتية وشهادة المنشأ وبوليصة الشحن","هذه المادة يجب عرضها  على فنيي وقاية النبات المفوضين (الحجر الصحي النباتي)في المنافذ الحدودية والأمانات الداخلية و المطارات والموانئ للكشف عليها  و سحب العينات وتأشير بياناتها بما يفيد مطابقتها  لتعليمات الحجر الصحي النباتي","تمنح شهادة صحية نباتية أصولاً ، مع التأكيد على مطابقة الإرسالية لمتطلبات الصحة النباتية في البلد المستورد إن قدمت من قبل صاحب العلاقة. ","06031300","This material must be presented to authorized plant protection technicians (plant quarantine) at border crossings, internal secretariats, airports, and ports to inspect it, withdraw samples, and mark their data to indicate their compliance with plant quarantine instructions."," A duly issued phytosanitary certificate is issued, confirming that the consignment conforms to the phytosanitary requirements of the importing country if submitted by the concerned party."," It must be presented to the plant quarantine at the first border port in order to conduct the necessary examination on it, withdraw samples, examine it, and mark its data by authorized plant protection technicians if it conforms to the plant quarantine instructions. The original plant health certificate must be presented + a copy of the certificate of origin with the phrase written on it. (An exact copy) or (the original is kept with us) stamped with the stamp of the relevant customs secretariat + stone import permit + a copy of the bill of lading","The stone import permit must be prior to the date of issuance of the phytosanitary certificate, certificate of origin, and bill of lading"
