"id","note_a","note_b","note_c","note_d","note_e","note_num","id_chapter_id","note_a_en","note_b_en","note_c_en","note_d_en","note_e_en","note_num_en"
"1","يشمل هذا الفصل جميع الحيوانات الحية بإستثناء : # أ- الأسماك والقشريات، الرخويات واللافقريـات المائية الأخر، الداخلة في البنود 03,01 أو 03,06 أو03,07# ب- الكائنات المجهرية المزروعة والمنتجات الأخر الداخلة  في البند 03,02؛ و # ج- الحيوانات الداخلة في البند 95,08.",,,,,"ملاحظة 1:","01","This Chapter covers all live animals except : #   (a)  Fish and crustaceans, molluscs and other aquatic invertebrates, of heading 03.01, 03.06, 03.07 or 03.08; # (b)  Cultures of micro‑organisms and other products of heading 30.02; and #  (c)  Animals of heading 95.08.",,,,,"Note 1:"
"2","لا يشمل هذا الفصل : # أ -  المنتجات من الأنواع المذكورة في البنود من 02.01 إلى 02.08 أو 02.10، غير الصالحة للإستهلاك البشرى ؛ # ب -  مصارين ومثانات ومعد الحيوانات (البند 05.04) ودم الحيوانات (البند 05.11 أو البند 30.02)؛ # ج -  الشحوم الحيوانية عدا المنتجات الداخلة في البند 02.09 (الفصل 15)",,,,,"ملاحظة 1:","02","This Chapter does not cover :#  (a) Products of the kinds described in headings 02.01 to 02.08 or 02.10, unfit or unsuitable for human consumption; #   (b) Edible, non-living insects (heading 04.10); #  (c) Guts, bladders or stomachs of animals (heading 05.04) or animal blood (heading 05.11 or 30.02); or #  (d) Animal fat, other than products of heading 02.09 (Chapter 15).",,,,,"Note 2:"
"3","لا يشمل هذا الفصل : # أ -  الثدييات الداخلة في البند 01.06 .# ب -    لحوم الثـدييات الداخلة في البند 01.06 (البند 02.08 أو البند 02.10)؛ #- ج -  الأسماك (بما فيها أكبادها وبيضها وغدد التذكير فيها) والقشريات والرخويات واللافقريات المائية الأخر، الميتة وغير الصالحة للاستهلاك البشرى، إما بسبب جنسها أو بسبب حالتها المقدمة بها (الفصـل 5)؛ دقيق ومساحيق وسميد وكريات مكتلة من الأسماك أو القشريات أو الرخويات أو اللافقريات المائية الأخر، غير الصالحة للاستهلاك البشرى (البند 23.01)؛  # د -  الخبيارى (كافيار) أو أبداله المحضرة من بيض السمك (البند 16.04) .",,,,,"ملاحظة 1:","03","This Chapter does not cover : # (a) Mammals of heading 01.06; #  (b) Meat of mammals of heading 01.06 (heading 02.08 or 02.10) #   (c) Fish (including livers, roes and milt thereof) or crustaceans, molluscs or other aquatic invertebrates, dead and unfit or unsuitable for human consumption by reason of either their species or their condition (Chapter 5); flours, meals or pellets of fish or of crustaceans, molluscs or other aquatic invertebrates, unfit for human consumption (heading 23.01); or #  (d) Caviar or caviar substitutes prepared from fish eggs (heading 16.04).",,,,,"Note 1:"
"4","""يقصد بعبـارة """" كريـات مكتلة Pellets """" في هـذا الفصل، المنتجات المقدمة بشكل حبات إسطوانية أو كروية ..إلخ، المكتلة إما مباشرة بالضغط البسيط أو بإضافة كمية قليلة من مادة رابطة.""",,,,,"ملاحظة 2:","03","In this Chapter the term “pellets” means products which have been agglomerated either directly by compression or by the addition of a small quantity of binder.",,,,,"Note 2:"
"5",,,,,,,"03","Headings 03.05 to 03.08 do not cover flours, meals and pellets, fit for human consumption (heading 03.09).",,,,,"Note 3:"
"6","""يقصد """" باللبن """" الحليب الكامل الدسم أو الحليب المنـزوعة قشدته جزئياً أو كلياً .""",,,,,"ملاحظة 1:","04","The expression “milk ” means full cream milk or partially or completely skimmed milk.",,,,,"Note 1:"
"7","""من أجل تطبيق البند 04.05 : # أ -  إن عبارة """" زبـد """" تعنـى الزبد الطبيعى، زبد مصل اللبن أو الزبد المعاد تركيبه (طازجاً أو مملحاً أو زنخاً بما فيه الزبد المعلب فى أوعية محكمة الغلق) المشتق حصراً من اللبن، والذى يحتوى على دسم لبن بنسبة 80% أو أكثر ولا يتجاوز 95% وزناً، وعلى مواد صلبة غير دهنية بحد أقصى 2% وزناً، وعلى الماء بحد أقصى 16% وزناً .إن الزبد لايحتوى على مستحلبات مضافة، ولكنه قد يحتوى على كلوريد الصوديوم، ألوان غذائية، أملاح تعادل وعلى بكتريا مستنبته غير ضارة منتجة لحمض اللبنيك . # ب -  يقصد بعبارة """" منتجات ألبان قابلة للدهن """" المستحلبات من نمط """" الماء فى الزيت """"، القابلة للبسط والمحتوية عـلى دسم اللبن بإعتباره الدسم الوحيد فقط الموجود فى المنتج بنسبة 39% أو أكثر ولكن تقل عن 80% وزناً """,,,,,"ملاحظة 2:","04","For the purposes of heading 04.03, yogurt may be concentrated or flavoured and may contain added sugar or other sweetening matter, fruit, nuts, cocoa, chocolate, spices, coffee or coffee extracts, plants, parts of plants, cereals or bakers’ wares, provided that any added substance is not used for the purpose of replacing, in whole or in part, any milk constituent, and the product retains the essential character of yogurt.",,,,,"Note 2:"
"8","تبند المنتجات المتحصل عليها بتركيز مصل اللبن مع إضافة اللبن أو دسم اللبن، كأجبان فى البند 04.06، شريطة أن تتوافر فيها الخصائص الثلاث التالية : # أ -  أن تكون نسبة دسم اللبن فيها 5% أو أكثر، من وزن المادة الجافة؛# ب -  ألا تقل نسبة المادة الجافة محسوبة وزناً عن 70% وألا تزيد عن 85% ؛ و# ج -  أن تكون مقولبة أو قابلة للقولبة ",,,,,"ملاحظة 3:","04","For the purposes of heading 04.05 : #  (a)     The term “butter” means natural butter, whey butter or recombined butter (fresh, salted or rancid, including canned butter) derived exclusively from milk, with a milkfat content of 80 % or more but not more than 95 % by weight, a maximum milk solids-not-fat content of 2 % by weight and a maximum water content of 16 % by weight. Butter does not contain added emulsifiers, but may contain sodium chloride, food colours, neutralising salts and cultures of harmless lactic-acid-producing bacteria. # (b)     The expression “dairy spreads” means a spreadable emulsion of the water-in-oil type, containing milkfat as the only fat in the product, with a milkfat content of 39 % or more but less than 80 % by weight.",,,,,"Note 3:"
"9","""لا يشمل هذا الفصل : # أ- المنتجات المتحصل عليها من مصل اللبن التى تحتوى على أكثر من 95% وزناً من اللاكتوز معبراً عنه بـ """"لاكتوز لامائى""""، محسوباً على أساس المادة الجافة (البند 17.02) ؛ أو  # ب -  الزلال """" ألبومين """" (بما فيه مركزات إثنين أو أكثر من بروتين مصل اللبن، المحتوية وزناً على أكثر من 80% من بروتين مصـل اللبن محسوبة على أساس المادة الجافة) (البند 35.02) أو الجلوبولين (البند 35.04) .""",,,,,"ملاحظة 4:","04","Products obtained by the concentration of whey and with the addition of milk or milkfat are to be classified as cheese in heading 04.06 provided that they have the three following characteristics : #  (a)     a milkfat content, by weight of the dry matter, of 5 % or more; #  (b)     a dry matter content, by weight, of at least 70 % but not exceeding 85 %; and#   (c)     they are moulded or capable of being moulded.",,,,,"Note 4:"
"10",,,,,,,"04","This Chapter does not cover : #  (a)     Non-living insects, unfit for human consumption (heading 05.11); #   (b)     Products obtained from whey, containing by weight more than 95 % lactose, expressed as anhydrous lactose, calculated on the dry matter (heading 17.02); #   (c)     Products obtained from milk by replacing one or more of its natural constituents (for example, butyric fats) by another substance (for example, oleic fats) (heading 19.01 or 21.06); or # (d)     Albumins (including concentrates of two or more whey proteins, containing by weight more than 80 % whey proteins, calculated on the dry matter) (heading 35.02) or globulins (heading 35.04).",,,,,"Note 5:"
