id,export,export_en,id_exportfee_id
1,مسموح التصدير,Export allowed,01012100
2,مسموح التصدير,Export allowed,01012900
3,ممنوع التصدير,Export allowed,01013000
4,ممنوع التصدير,Export allowed,01019000
5,ممنوع التصدير,Export allowed,01022100
6,ممنوع التصدير,Export allowed,01022900
7,ممنوع التصدير,Export allowed,01023100
8,ممنوع التصدير,Export allowed,01023900
9,ممنوع التصدير,Export allowed,01029000
10,ممنوع التصدير,Export allowed,01031000
11,ممنوع التصدير,Export allowed,01039100
12,ممنوع التصدير,Export allowed,01039200
13,مسموح التصدير,Export allowed,01041000
14,مسموح التصدير,Export allowed,01042000
15,ممنوع التصدير,Export allowed,01051100
16,ممنوع التصدير,Export allowed,01051200
17,مسموح التصدير,Export allowed,01051300
18,مسموح التصدير,Export allowed,01051400
19,ممنوع التصدير,Export allowed,01051500
20,ممنوع التصدير,Export allowed,01059400
21,ممنوع التصدير,Export allowed,01059900
22,ممنوع التصدير,Export allowed,01061100
23,ممنوع التصدير,Export allowed,01061200
24,ممنوع التصدير,Export allowed,01061300
25,ممنوع التصدير,Export allowed,01061400
26,ممنوع التصدير,Export allowed,01061900
27,ممنوع التصدير,Export allowed,01062000
28,ممنوع التصدير,Export allowed,01063100
29,ممنوع التصدير,Export allowed,01063200
30,ممنوع التصدير,Export allowed,01063300
31,ممنوع التصدير,Export allowed,01063900
32,ممنوع التصدير,Export allowed,01064100
33,ممنوع التصدير,Export allowed,01064900
34,مسموح التصدير,Export allowed,01069000
35,ممنوع التصدير,Export allowed,02011000
36,ممنوع التصدير,Export allowed,02012000
37,ممنوع التصدير,Export allowed,02013000
38,ممنوع التصدير,Export allowed,02021000
39,ممنوع التصدير,Export allowed,02022000
40,ممنوع التصدير,Export allowed,02023000
41,ممنوع التصدير,Export allowed,02031100
42,ممنوع التصدير,Export allowed,02031200
43,ممنوع التصدير,Export allowed,02031900
44,ممنوع التصدير,Export allowed,02032100
45,ممنوع التصدير,Export allowed,02032200
46,ممنوع التصدير,Export allowed,02032900
47,ممنوع التصدير,Export allowed,02041000
48,ممنوع التصدير,Export allowed,02042100
49,ممنوع التصدير,Export allowed,02042200
50,ممنوع التصدير,Export allowed,02042300
51,ممنوع التصدير,Export allowed,02043000
