"id","created_at","material","name","band","clearanceFeeExport","priceImport","clearanceFee","priceFull","type","priceExport","note","","",""
"92028","6/8/2025","[01012100] خيول أصيلة للأنسال","خيول أصيلة للأنسال","01012100","2","225","75","300","عدد","0","","","",""
"92029","6/8/2025","[01012900] غيرها","غيرها","01012900","2","225","75","300","عدد","0","","","",""
"92030","6/8/2025","[01013000] حمير","حمير","01013000","2","40","13","53","عدد","0","","","",""
"92031","6/8/2025","[01019000] خيول وحمير وبغال ونغال? حية. عدا (عدا العرق النقي للأنسال),","خيول وحمير وبغال ونغال? حية. عدا (عدا العرق النقي للأنسال),","01019000","2","40","13","53","عدد","0","","","",""
"92032","6/8/2025","[01022100] ابقار اليفة اصيلة للانسال","ابقار اليفة اصيلة للانسال","01022100","2","40","13","53","عدد","0","","","",""
"92033","6/8/2025","[01022900] غيرها","غيرها","01022900","2","40","13","53","عدد","0","","","",""
"92034","6/8/2025","[01023100] جواميس أصيلة للانسال","جواميس أصيلة للانسال","01023100","2","40","13","53","عدد","0","","","",""
"92035","6/8/2025","[01023900] غيرها","غيرها","01023900","2","40","13","53","عدد","0","","","",""
"92036","6/8/2025","[01029000] حيوانات حية من فصيلة الأبقار عدا ا(عدا العرق النقي للأنسال),","حيوانات حية من فصيلة الأبقار عدا ا(عدا العرق النقي للأنسال),","01029000","2","40","13","53","عدد","0","","","",""
"92037","6/8/2025","[01041000] حيوانات من فصيلة ضأن حية.","حيوانات من فصيلة ضأن حية.","01041000","2","5","2","7","عدد","0","","","",""
"92038","6/8/2025","[01042000] حيوانات من فصيلة ماعز حية.","حيوانات من فصيلة ماعز حية.","01042000","2","5","2","7","عدد","0","","","",""
"92039","6/8/2025","[01051100] دواجن, من فصيلة غالوس دومستيكاس""Gallus Domesticus"" بوزن لايزيد عن 185 غ.","دواجن, من فصيلة غالوس دومستيكاس""Gallus Domesticus"" بوزن لايزيد عن 185 غ.","01051100","2","0.07","0.02","0.1","عدد","0","","","",""
"92040","6/8/2025","[01051200] ديوك ودجاج رومي بوزن لايزيد عن 185 غ.","ديوك ودجاج رومي بوزن لايزيد عن 185 غ.","01051200","2","0.07","0.02","0.1","عدد","0","","","",""
"92041","6/8/2025","[01051300] بط بوزن لايزيد عن 185 غ.","بط بوزن لايزيد عن 185 غ.","01051300","2","0.07","0.02","0.1","عدد","0","","","",""
"92042","6/8/2025","[01051400] إوز بوزن لايزيد عن 185 غ.","إوز بوزن لايزيد عن 185 غ.","01051400","2","0.07","0.02","0.1","عدد","0","","","",""
"92043","6/8/2025","[01051500] دجاج غينيا (غرغر) بوزن لايزيد عن 185 غ.","دجاج غينيا (غرغر) بوزن لايزيد عن 185 غ.","01051500","2","0.07","0.02","0.1","عدد","0","","","",""
"92044","6/8/2025","[01059400] دواجن, من فصيلة غالوس دومستيكاس""Gallus Domesticus"" بوزن لا يزيد عن 185 غ.","دواجن, من فصيلة غالوس دومستيكاس""Gallus Domesticus"" بوزن لا يزيد عن 185 غ.","01059400","2","0.07","0.02","0.1","عدد","0","","","",""
"92045","6/8/2025","[01061100] الرئيسات (الحيوانات العليا):","الرئيسات (الحيوانات العليا):","01061100","2","20","7","27","عدد","0","","","",""
