"id","note_a","note_b","note_c","note_num","id_section_id","note_a_en","note_b_en","note_c_en","note_num_en"
"1","كل إشارة في هذا القسم إلى نوع أو جنس معين من الحيوان تشمل أيضاً صغاره من هذا النوع أو الجنس، مالم ينص على خلاف ذلك. ",,,"ملاحظة  1:","1","Any reference in this Section to a particular genus or species of an animal, except where the context otherwise requires, includes a reference to the young of that genus or species.",,,"Note 1:"
"10","بإستثناء الأصناف الداخلة في البندين 39.18 أو 39.19، تدخل في الفصل 49 اللدائن والمطـاط والمصنوعات من هذه المواد المطبوعة والمتضمنة صوراً أو رسوماً أو نصوصاً، بحيث لاتكون الطباعة أو الصور فيها مجرد أمر ثانوى بل يكون لها الصفة الرئيسية عند الإستعمال",,,"ملاحظة 2:","7","Except for the goods of heading 3918 or 3919, plastics, rubber, and articles thereof, printed with motifs, characters or pictorial representations, which are not merely subsidiary to the primary use of the goods, fall in Chapter 49.",,,"Note 2:"
"11","لا يشمل هذا القسم : # (أ) وبر أو شعر الحيوانات المستعمل لصناعة الفراجين (البند 05.02)؛ شعر الخيل وفضلاته (البند 05.03)؛  # (ب) الشعر البشرى ومصنوعاته (البند 05.01 أو 67.03 أو 67.04)، عدا أقمشة التصفية من شعر بشرى لمعاصر الزيوت والإستعمالات المماثلة فهى تدخل في البند 59.11؛ # (ج) زغب بذور القطن والمنتجات النباتية الأخر، الداخلة في الفصل 14؛ # (د) ألياف الحرير الصخرى (أسبستوس) الداخلة في البند 25.24 أو الأصناف المصنوعة من حرير صخرى أو المنتجات الأخر الداخلة في البند 68.12 أو 68.13؛  #(ه) الأصناف الداخلة في البند 30.05 أو البند 30.06 (مثل الحشو، الغزى ""شاش""، الأربطة والضمادات والأصناف المماثلة للطب أو الجراحة أو طب الأسنان، أو الطب البيطرى، والخيوط المعقمة للجراحة)؛ خيوط للتنظيف ما بين الأسنان ""دانتال فلوس""، في عبوات فردية للبيع بالتجزئة، الداخلة في البند 33.06؛ # (و) النسج المحسسة الداخلة في البنود من 37.01 إلى 37.04؛ # (ز) الشعيرات المفردة التي يزيد أكبر مقاس لمقطعها العرضى عن 1 مم، والصفيحات والأشكال المماثلة (مثل القش الإصطناعى)، والتي يزيد عرضها الظاهر عن 5 مم، من لدائن (الفصل 39)، وكذلك الضفائر والنسج وغيرها من أصناف صناعتى الحصر أو السلال المصنوعة من هذه الشعيرات المفردة أو الصفيحات (الفصل 46)؛ # (ح) الأقمشة المنسوجة والأقمشة المصنرة واللباد واللامنسوجات (الأقمشة غير المنسوجة)، المشربة أو المطلية أو المغطاة أو المنضدة بلدائن، والأصناف المصنوعة منها، الداخلة في الفصل 39؛  # (ط) الأقمشة المنسوجة والأقمشة المصنرة واللباد واللامنسوجات (الأقمشة غير المنسوجة)، المشربة أو المطلية أو المغطاة أو المنضدة بمطاط، والأصناف المصنوعة منها، الداخلة في الفصل 40؛ # (ى) الجلود بشعرها أو بصوفها (الفصل 41 أو الفصل 43) وأصناف الجلود بفراء، الطبيعية أو المقلدة (الإصطناعية)، ومصنوعاتها، الداخلة في البند 43.03 أو البند 43.04؛ # (ك) الأصناف من مواد نسجية الداخلة في البند 42.01 أو البند 42.02؛ #(ل) منتجات وأصناف الفصل 48 (مثل حشو السليلوز)؛ #(م) أصناف الأحذية وأجزاؤها والطماقات وواقيات السيقان والأصناف المماثلة الداخلة في الفصل 64؛ #(ن) شبيكات الشعر وغيرها من أغطية الرأس وأجزاؤها الداخلة في الفصل 65؛ # (ص) أصناف الفصل 67؛ # (ع) المواد النسجية المكسوة بمواد شاحذة (البند 68.05) وكذلك ألياف الكربون ومصنوعاتها الداخلة في البند 68.15؛ #(ف) ألياف الزجاج والأصناف المصنوعة من ألياف الزجاج، بإستثناء المطرزات بخيوط من ألياف زجاجية على نسج ظاهرة الأرضية (الفصل 70)؛ # (س) أصناف الفصل 94 (مثل الأثاث ولوازم الأسرة وأجهزة الإنارة)؛ #(ق) أصناف الفصل95 (مثل لعب الأطفال وألعاب المجتمعات وأدوات ولوازم وشبكات الرياضة)؛ #(ر) أصناف الفصل 96 (مثل الفراجين، مجموعات الخياطة للسفر، الحابكات المنزلقة (المسننة أو غير المسننة) والأشرطة المحبره للآلات الكاتبة)؛ #(ش) أصناف الفصل 97.",,,"ملاحظة 1:","11","This Section does not cover : # (a)     Animal brush‑making bristles or hair (heading 05.02); horsehair or horsehair waste (heading 05.11); #  (b)     Human hair or articles of human hair (heading 05.01, 67.03 or 67.04), except filtering or straining cloth of a kind commonly used in oil presses or the like (heading 59.11); # (c)     Cotton linters or other vegetable materials of Chapter 14; #   (d)  Asbestos of heading 25.24 or articles of asbestos or other products of heading 68.12 or 68.13; # (e)     Articles of heading 30.05 or 30.06; yarn used to clean between the teeth (dental floss), in individual retail packages, of heading 33.06; # (f)     Sensitised textiles of headings 37.01 to 37.04; #  (g)     Monofilament of which any cross‑sectional dimension exceeds 1 mm or strip or the like (for example, artificial straw) of an apparent width exceeding 5 mm, of plastics (Chapter 39), or plaits or fabrics or other basketware or wickerwork of such monofilament or strip (Chapter 46); #  (h)     Woven, knitted or crocheted fabrics, felt or nonwovens, impregnated, coated, covered or laminated with plastics, or articles thereof, of Chapter 39; #  (ij)     Woven, knitted or crocheted fabrics, felt or nonwovens, impregnated, coated, covered or laminated with rubber, or articles thereof, of Chapter 40; # (k)     Hides or skins with their hair or wool on (Chapter 41 or 43) or articles of furskin, artificial fur or articles thereof, of heading 43.03 or 43.04; #  (l)     Articles of textile materials of heading 42.01 or 42.02; # (m)     Products or articles of Chapter 48 (for example, cellulose wadding); #  (n)     Footwear or parts of footwear, gaiters or leggings or similar articles of Chapter 64; # (o)     Hair‑nets or other headgear or parts thereof of Chapter 65; #   (p)     Goods of Chapter 67; #  (q)     Abrasive‑coated textile material (heading 68.05) and also carbon fibres or articles of carbon fibres of heading 68.15; # (r)     Glass fibres or articles of glass fibres, other than embroidery with glass thread on a visible ground of fabric (Chapter 70); # (s)     Articles of Chapter 94 (for example, furniture, bedding, luminaires and lighting fittings); #  (t)     Articles of Chapter 95 (for example, toys, games, sports requisites and nets); #  (u)     Articles of Chapter 96 (for example, brushes, travel sets for sewing, slide fasteners, typewriter ribbons, sanitary towels (pads) and tampons, napkins (diapers) and napkin liners); or # (v)     Articles of Chapter 97.",,,"Note 1:"
"12","إن المنتجات القابلة للتبنيد في الفصول من50 إلى 55 أو في البند 58.09 أو البند 59.02، المحتوية على خليط من مادتين نسجيتين أو أكثر يجب أن تبند كما لو كانت تتكون بكاملها من المادة النسجية الغالبة وزناً على أى واحدة من المواد النسجية الأخر. وعندما لا يكون هناك مادة نسجية غالبه وزناً، فإن المنتجات يجب أن تبند كما لو كانت مكونة بالكامل من تلك المادة النسجية المشمولة بالبند الذي يرد متأخراً في الترتيب الرقمى من بين البنود التي يمكن أخذها بعين الإعتبار على حد سواء.","لتطبيق القاعدة أعلاه : # 1- تعامل خيوط بريم شعر الخيل (البند 51.10) والخيوط الممعدنة (البند 56.05) كمادة نسجية صرفه، والوزن الواجب إعتباره هو كامل مجموع وزن مكوناتها؛ من أجل تبنيد الأقمشة المنسوجة، تعتبر الخيوط المعدنية كما لو كانت مادة نسجية؛ #2- إن إختيار البند المناسب يجب أن يبدأ بتحديد الفصل أولاً، ومن ثم البند الممكن تطبيقه داخل هذا الفصل، بغض النظر عن أية مواد نسجية غير داخلة في هذا الفصل؛ #3- عندما يتداخل الفصلان 54 و 55 مع أى فصل آخر، فإنهما يجب أن يعاملا كفصل واحد؛ # 4- عندما يشير أحد الفصول أو البنود إلى منتجات مؤلفة من مواد نسجية مختلفة، فإن هذه المواد تعامل كمادة نسجية واحدة.","تنطبـق أيضاً أحكام الفقرتين (أ) و (ب) أعلاه على الخيوط المشار إليها في الملاحظات 3 و4 و5 و 6 أدناه","ملاحظة 2:","11","Goods classifiable in Chapters 50 to 55 or in heading 58.09 or 59.02 and of a mixture of two or more textile materials are to be classified as if consisting wholly of that one textile material which predominates by weight over any other single textile material. # When no one textile material predominates by weight, the goods are to be classified as if consisting wholly of that one textile material which is covered by the heading which occurs last in numerical order among those which equally merit consideration.","  For the purposes of the above rule : #  (a) - Gimped horsehair yarn (heading 51.10) and metallised yarn (heading 56.05) are to be treated as a single textile material the weight of which is to be taken as the aggregate of the weights of its components; for the classification of woven fabrics, metal thread is to be regarded as a textile material; # (b) The choice of appropriate heading shall be effected by determining first the Chapter and then the applicable heading within that Chapter, disregarding any materials not classified in that Chapter; #  (c) When both Chapters 54 and 55 are involved with any other Chapter, Chapters 54 and 55 are to be treated as a single Chapter; #   (d) Where a Chapter or a heading refers to goods of different textile materials, such materials are to be treated as a single textile material.","The provisions of paragraphs (A) and (B) above apply also to the yarns referred to in Note 3, 4, 5 or 6 below.","Note 2:"
"13","مع مراعاة الإستثناءات الواردة في الفقرة (ب) أدناه، تعتبر في هذا القسم "" خيوط حزم وحبال وأمراس وقلوس (حبال غليظة)""، الخيوط (المفردة أو المزوية أو المتعددة الزوى) المصنوعة: # 1- من حرير طبيعى أو فضلاته بمقاس يتجاوز 20000 ديسيتكس؛ #2- من ألياف تركيبية أو إصطناعية (بما في ذلك المصنوعة من شعيرتين مفردتين أو أكثر ممايدخل في الفصل 54)، بمقاس يتجاوز 10000 ديسيتكس؛ #3- من قنب أو كتان : # أ- ملمعة أو مصقولة، بمقاس لايقل عن 1429 ديسيتكس؛ أو # ب- غير ملمعة ولا مصقولة، بمقاس يتجاوز 20000 ديسيتكس؛ # 4- من ألياف النارجيل (جوز الهند) مؤلفة من ثلاث طاقات أو أكثر؛ #5- من ألياف نباتية أخر، بمقاس يتجاوز 20000 ديسيتكس؛ أو # 6- مقواه بخيوط من معدن.","لا تنطبق الأحكام الواردة أعلاه على : #1- خيوط الصوف أو الوبر أو غيرها من الشعر الحيوانى وخيوط الورق، عدا ما كان منها مقوى بخيوط من معدن؛ #2- خصل الشعيرات التركيبية أو الإصطناعية الداخلة في الفصل 55، والخيوط المتعددة الشعيرات بدون زوى أو بزوى أقل من 5 برمات للمتر، الداخلة في الفصل 54؛ #3- شعر مسينا للصيد (خيوط أحشاء دود الحرير) الداخلة في البند 50.06، والشعيرات المفردة الداخلة في الفصل 54؛ #4- الخيوط الممعدنة الداخلة في البند 56.05؛ تخضع الخيوط المقواه بخيوط من معدنلأحكام الفقرة (أ) (6) أعلاه؛ و #5- الخيوط القطيفية (المخملة) وخيوط البريم وخيوط السلسلة الداخلة في البند 56.06",,"ملاحظة 3:","11"," For the purposes of this Section, and subject to the exceptions in paragraph (B) below, yarns (single, multiple (folded) or cabled) of the following descriptions are to be treated as “twine, cordage, ropes and cables” : #  (a) Of silk or waste silk, measuring more than 20,000 decitex; #   (b) Of man‑made fibres (including yarn of two or more monofilaments of Chapter 54), measuring more than 10,000 decitex; # (c) Of true hemp or flax : # (i)   Polished or glazed, measuring 1,429 decitex or more; or #  (ii)  Not polished or glazed, measuring more than 20,000 decitex ;or #  (d) Of coir, consisting of three or more plies; # (e) Of other vegetable fibres, measuring more than 20,000 decitex; or #  (f) Reinforced with metal thread.    ","Exceptions : # (a) Yarn of wool or other animal hair and paper yarn, other than yarn reinforced with metal thread; # (b) Man‑made filament tow of Chapter 55 and multifilament yarn without twist or with a twist of less than 5 turns per metre of Chapter 54; # (c) Silk worm gut of heading 50.06, and monofilaments of Chapter 54; # (d) Metallised yarn of heading 56.05; yarn reinforced with metal thread is subject to paragraph (A) (f) above; and  # (e) Chenille yarn, gimped yarn and loop wale‑yarn of heading 56.06.",,"Note 3:"
"14","مع مراعاة الإستثناءات المبينه في الفقرة (ب) التالية، تعتبر "" خيوط مهيأة للبيع بالتجزئة "" في الفصول 50، 51، 52، 54، 55، الخيوط (المفردة أو المزوية أو المتعددة الزوى) المهيأة كما يلى: #1- على بطاقات أو بكرات أو مواسير أو مايماثلها من الحوامل، لايزيد وزنها (بما فيذلك الحامل) عن : # أ- 85 جم لخيوط الحرير الطبيعى أو فضلاته أو خيوط الشعيرات التركيبية أو الإصطناعية؛ أو # ب- 125 جم لغيرها من الخيوط؛ # 2- بشكل كرات أو كبب أو شلل أو شليلات لايتجاوز وزنها : #  أ - 85 جم لخيوط الشعيرات التركيبية أو الإصطناعية بمقاس أقل من 3000 ديسيتكس، أو لخيوط الحرير الطبيعى أو فضلاته؛ # ب - 125 جم لجميع الخيوط النسجية الأخر بمقاس أقل من2000 ديسيتكس؛ أو # ج - 500 جم لغيرها من الخيوط؛ # 3- بشكل شلل مقسمة تقسيماً ثانوياً إلى عدة شليلات أصغر موحدة الوزن، مفصولة بواسطة خيوط فاصلة تجعلها مستقلة عن بعضها، ولايزيد وزن الشليلة الواحدة عن : # أ - 85 جم لخيوط الحرير الطبيعى أو فضلاتة أو خيوط الشعيرات التركيبية أو الإصطناعية؛ أو #  ب - 125 جم لغيرها من الخيوط","لاتنطبق الأحكام الواردة أعلاه على : #1- الخيوط المفردة من جميع المواد النسجية بإستثناء : # أ- الخيوط المفردة من الصوف أو الوبر الناعم، غير المقصورة؛ و #ب- الخيوط المفردة من الصوف أو الوبر الناعم، المقصورة أو المصبوغة أوالمطبوعة، بمقاس يتجاوز 5000 ديسيتكس؛ # 2- الخيوط المزوية أو المتعددة الزوى، غير المقصورة : # أ- من الحرير الطبيعى أو فضلاته، أياً كانت طريقة تهيئتها؛ أو #ب- من المواد النسجية الأخر (بإستثناء الصوف أو الوبر الناعم) المهيأة بشكل شلل أو شليلات #3- الخيوط المزوية أو المتعددة الزوى من الحرير الطبيعى أو فضلاته، مقصورة أو مصبوغة أو مطبوعة، بمقاس 133 ديسيتكس أو أقل؛ و #4- الخيوط المفردة أو المزوية أو المتعددة الزوى، من جميع المواد النسجية، المهيأة : # أ- بشكل شلل أو شليلات متقاطعة الخيوط؛ أو # ب- على حوامل أو بأية طريقة أخرى تدل على إستعمالها في صناعة النسيج (مثل مواسير آلات الزوى، أو مخاريط ""كون"" أو بكرات أو أنابيب مخروطية أو إسطوانية أو مهيأة بشكل شرانق لأنوال التطريز).",,"ملاحظة 4:","11"," For the purposes of Chapters 50, 51, 52, 54 and 55, the expression “put up for retail sale” in relation to yarn means, subject to the exceptions in paragraph (B) below, yarn (single, multiple (folded) or cabled) put up : # (a) On cards, reels, tubes or similar supports, of a weight (including support) not exceeding : #  (i)     85 g in the case of silk, waste silk or man‑made filaments; or #(ii)     125 g in other cases; # (b) In balls, hanks or skeins of a weight not exceeding : #  (i)    85 g in the case of man‑made filament yarn of less than 3,000 decitex, silk or silk waste; #  (ii)    125 g in the case of all other yarns of less than 2,000 decitex; or #  (iii)    500 g in other cases. # (c) In hanks or skeins comprising several smaller hanks or skeins separated by dividing threads which render them independent one of the other, each of uniform weight not exceeding : #  (i)     85 g in the case of silk, waste silk or man‑made filaments; or 3 (ii)     125 g in other cases."," (B)    Exceptions :# (a) Single yarn of any textile material, except : #(i)     Single yarn of wool or fine animal hair, unbleached; and #  (ii)     Single yarn of wool or fine animal hair, bleached, dyed or printed, measuring more than 5,000 decitex; # (b) Multiple (folded) or cabled yarn, unbleached : # (i)     Of silk or waste silk, however put up; or #   (ii)     Of other textile material except wool or fine animal hair, in hanks or skeins; #  (c) Multiple (folded) or cabled yarn of silk or waste silk, bleached, dyed or printed, measuring 133 decitex or less; and # (d) Single, multiple (folded) or cabled yarn of any textile material : # (i)     In cross‑reeled hanks or skeins; or # (ii)    Put up on supports or in some other manner indicating its use in the textile industry (for example, on cops, twisting mill tubes, pirns, conical bobbins or spindles, or reeled in the form of cocoons for embroidery looms).             ",,"Note 4:"
"15","من أجل تطبيق أحكام البنود 52.04 و 54.01 و 55.08، يقصد بعبارة ""خيوط الخياطة"" الخيوط المزوية أو المتعددة الزوى التي يتوافر فيها مايلى : # أ- مهيأة على حوامل )مثل البكرات أو المواسير( بوزن ال يزيد عن 1000 غرام )بما فيه الحامل(؛ # ب- مهيأة لالستخدام كخيوط خياطة؛ و  # ج- ببرم نهائي بشكل Z.",,,"ملاحظة 5:","11","For the purposes of headings 52.04, 54.01 and 55.08, the expression “sewing thread” means multiple (folded) or cabled yarn :#  (a) Put up on supports (for example, reels, tubes) of a weight (including support) not exceeding 1,000 g; # (b) Dressed for use as sewing thread; and # (c) With a final “Z” twist.","                   ",,"Note 5:"
"16","من أجل تطبيق أحكام هذا القسم، يقصد بعبارة ""خيوط عالية المتانة"" الخيوط ذات قوة تماسك معبراً عنها بعدد السنتنيوتن في التكس (CN/TEX) وتتجاوز الحدود التالية : # - خيوط مفردة من نايلون أو من بولى أميدات أخر أو من بوليستر 60 cN/tex. # - خيوط مزوية أو متعددة الزوى من نايلون أو من بولى أميدات أخر أو من بوليستر 53 cN/tex #- خيوط مفردة أو مزوية أو متعددة الزوى من حرير الفسكوز 27 cN/tex",,,"ملاحظة 6:","11","For the purposes of this Section, the expression “high tenacity yarn” means yarn having a tenacity, expressed in cN/tex (centinewtons per tex), greater than the following : # Single yarn of nylon or other polyamides, or of polyesters .........................................................  60 cN/tex #   Multiple (folded) or cabled yarn of nylon or other polyamides, or of polyesters ....................  53 cN/tex # Single, multiple (folded) or cabled yarn of viscose rayon ...........................................................  27 cN/tex.","                   ",,"Note 6:"
"17","تعتبر ""أصنافاً جاهزة"" في هذا القسم : # أ- الأصناف المقطعة بأشكال غير مربعة ولا مستطيلة؛  # ب- الأصناف المتحصل عليها بشكل نهائى وجاهزة للإستعمال (أو التي يمكن إستعمالها بعد فصلها عن بعضها بمجرد قطع الخيوط غير المتشابكة) دون خياطة أو أية عملية أخرى (مثل بعض المماسح والمناشف وأغطية المناضد والأوشحة المربعة والأحرمة)؛ # ج- الأصناف المكفوفة أو المثنية الأطراف بأية طريقة، أو ذات الهدب المعقودة من أية حافة سواءً كانت مصنوعة من خيوط الصنف نفسه أو من خيوط إضافية، ولا تعتبر أصنافاً جاهزة الأقمشة ذات الحواف المقصوصة ""بلا حواشى"" التي منع تنسيلها بلفق أطرافها أو بأية طريقة بسيطة أخرى؛ # د- الأصناف المقطعة بأشكال وقياسات والتي تمت عليها عملية سحب لبعض خيوطها؛  #ه- الأصناف المجمعة بالخياطة أو باللصق أو بأية طريقة أخرى (عدا القطع النسجية المؤلفة من قطعتين أو أكثر بأطوال ومن ذات النوع ووصلت نهاياتها للحصول على قطع أكثر طولاً وكذلك القطع المؤلفة من نوعين أو أكثر من النسج المجمعة بشكل طبقات وإن كانت تتضمن مواد حشو)؛ # و- أصناف المصنرات بما فيها الكروشيه، المشغولة بأشكال معينة، سواءً قدمت كوحدات منفصلة أو بشكل يتضمن عدد من الوحدات بأطوال (أثواباً).",,,"ملاحظة 7:","11","For the purposes of this Section, the expression “made up” means : #  (a)   Cut otherwise than into squares or rectangles; #  (b)   Produced in the finished state, ready for use (or merely needing separation by cutting dividing threads) without sewing or other working (for example, certain dusters, towels, table cloths, scarf squares, blankets); #  (c)   Cut to size and with at least one heat-sealed edge with a visibly tapered or compressed border and the other edges treated as described in any other subparagraph of this Note, but excluding fabrics the cut edges of which have been prevented from unravelling by hot cutting or by other simple means; 3 (d)   Hemmed or with rolled edges, or with a knotted fringe at any of the edges, but excluding fabrics the cut edges of which have been prevented from unravelling by whipping or by other simple means; 3 (e)   Cut to size and having undergone a process of drawn thread work; 3  (f)   Assembled by sewing, gumming or otherwise (other than piece goods consisting of two or more lengths of identical material joined end to end and piece goods composed of two or more textiles assembled in layers, whether or not padded); # (g)   Knitted or crocheted to shape, whether presented as separate items or in the form of a number of items in the length.","                   ",,"Note 7:"
"18","من أجل تطبيق أحكام الفصول من 50 إلى 60 فإن: # ( أ) لاتنطبق الفصول من 50 إلى 55 والفصل 60، مالم ينص على خلاف ذلك، والفصول من56 إلى 59، على الأصناف الجاهزة بالمعنى المقصود في الملاحظة (7) أعلاه؛ و #  (ب) لاتنطبق الفصول من50 إلى 55 والفصل 60، على الأصناف الداخلة في الفصول من56 إلى 59.",,,"ملاحظة 8:","11","For the purposes of Chapters 50 to 60 : #  (a)   Chapters 50 to 55 and 60 and, except where the context otherwise requires, Chapters 56 to 59 do not apply to goods made up within the meaning of Note 7 above; and # (b)   Chapters 50 to 55 and 60 do not apply to goods of Chapters 56 to 59.","                ",,"Note 8:"
