"id","label","id_parent_1_id","is_have_note","label_en"
"01","حيوانات حية","1","1","Live animals"
"02","لحوم وأحشاء وأطراف صالحة للأكل","1","1","Meat and edible meat offal"
"03","أسماك وقشريات، رخويات وغيرها من اللافقاريات المائية","1","1","Fish and crustaceans, molluscs and other aquatic invertebrates"
"04"," ألبان ومنتجات صناعة الألبان ؛ بيض طيور ؛ عسل طبيعي؛ منتجات صالحة للأكل من أصل حيواني، غير مذكورة ولا داخلة في مكان آخر","1","1","Dairy produce; birds eggs; natural honey; edible products of animal origin, not elsewhere specified or included"
"05","منتجات أخرى من أصل حيواني، غير مذكورة ولا داخلة في مكان آخر","1","1","Products of animal origin, not elsewhere specified or included"
"06","أشجار ونباتات أخرى حية؛ بصلات وبصيلات وجذور وما شابهها؛ أزهار مقطوفة وأغصان مورقة للزينة","2","1","Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage"
"07","خضر ونباتات وجذور ودرنات، صالحة للأكل","2","1","Edible vegetables and certain roots and tubers"
"08","فواكه وثمار قشرية صالحة للأكل؛ قشور حمضيات وقشور بطيخ أو شمام","2","1","Edible fruit and nuts; peel of citrus fruit or melons"
"09","بن وشاي ومته وبهارات وتوابل","2","1","Coffee, tea, maté and spices"
"10","حبوب","2","1","Cereals"
"11","منتجات مطاحن؛  شعير ناشظ (مالت)؛ نشاء حبوب أو جذور أو درنات؛  إينولين؛ دابوق القمح (غلوتين)","2","1","Products of the milling industry; malt; starches; inulin; wheat gluten"
"12","بذور أوثمار زيتية، حبوب وبذور وأثمار متنوعة؛ نباتات للصناعة أو للطب؛ قش وعلف","2","1","Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder"
"13","صمغ اللك، صموغ وراتنجات وغيرها من عصارات وخلاصات نباتية","2","1","Lac; gums, resins and other vegetable saps and extracts"
"14","مواد ضفر نباتية، منتجات أخرى من أصل نباتي غير مذكورة ولا داخلة في مكان آخر","2","1","Vegetable plaiting materials; vegetable products not elsewhere specified or included"
"15","شحوم ودهون وزيوت حيوانية أو نباتية أو من أصل جرثومي و منتجات تفككها؛ دهون غذائية محضرة صالحة للأكل؛ شموع من أصل حيواني أو نباتي","3","1","Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes."
"16","محضرات لحوم أو أسماك أو قشريات أو رخويات أو لافقريات مائية، أو حشرات","4","1","Preparations of meat, of fish, of crustaceans, molluscs or other aquatic invertebrates, or of insects"
"17","سكر ومصنوعات سكرية","4","1","Sugars and sugar confectionery"
