"id","finance","id_finance_id","finance_en"
"1","يوم واحد","04021010","one day"
"2","يوم واحد","04022110","one day"
"3","يوم واحد","04022910","one day"
"4","يوم واحد","19011000","one day"
"5","يوم واحد","30031000","one day"
"6","يوم واحد","30033100","one day"
"7","يوم واحد","30033900","one day"
"8","يوم واحد","30034900","one day"
"9","يوم واحد","30039000","one day"
"10","يوم واحد","30041000","one day"
"11","يوم واحد","30042000","one day"
"12","يوم واحد","30043100","one day"
"13","يوم واحد","30043200","one day"
"14","يوم واحد","30043900","one day"
"15","يوم واحد","30044900","one day"
"16","يوم واحد","30045000","one day"
"17","يوم واحد","30049000","one day"
"18","يوم واحد","30032000","one day"
"19","يوم واحد","30066000","one day"
"20","30 يوم","10061000","30 days"
"21","30 يوم","10062000","30 days"
"22","30 يوم","10063000","30 days"
"23","30 يوم","15121100","30 days"
"24","30 يوم","15111000","30 days"
"25","30 يوم","15132100","30 days"
"26","30 يوم","15071000","30 days"
"27","30 يوم","15131100","30 days"
"28","30 يوم","15152100","30 days"
"29","30 يوم","32131000","30 days"
"30","30 يوم","32139000","30 days"
"31","30 يوم","39261000","30 days"
"32","30 يوم","40169200","30 days"
"33","30 يوم","40169990","30 days"
"34","30 يوم","48201000","30 days"
"35","30 يوم","48202000","30 days"
"36","30 يوم","48203000","30 days"
"37","30 يوم","48204000","30 days"
"38","30 يوم","48211000","30 days"
"39","30 يوم","48219000","30 days"
"40","30 يوم","49011000","30 days"
"41","30 يوم","49019100","30 days"
"42","30 يوم","49019900","30 days"
"43","30 يوم","82141000","30 days"
"44","30 يوم","83051000","30 days"
"45","30 يوم","83052000","30 days"
"46","30 يوم","83059000","30 days"
"47","30 يوم","83082000","30 days"
"48","30 يوم","84401000","30 days"
"49","30 يوم","84701000","30 days"
"50","30 يوم","84702100","30 days"
"51","30 يوم","84702900","30 days"
"52","30 يوم","84703000","30 days"
"53","30 يوم","84709000","30 days"
"54","30 يوم","84723000","30 days"
"55","30 يوم","84729000","30 days"
"56","30 يوم","90171000","30 days"
"57","30 يوم","90172000","30 days"
"58","30 يوم","90173000","30 days"
"59","30 يوم","90178000","30 days"
"60","30 يوم","90179000","30 days"
"61","30 يوم","90230000","30 days"
"62","30 يوم","96033000","30 days"
"63","30 يوم","96081000","30 days"
"64","30 يوم","96082000","30 days"
"65","30 يوم","96083000","30 days"
"66","30 يوم","96084000","30 days"
"67","30 يوم","96085000","30 days"
"68","30 يوم","96086000","30 days"
"69","30 يوم","96089920","30 days"
"70","30 يوم","96089990","30 days"
"71","30 يوم","96091010","30 days"
"72","30 يوم","96091090","30 days"
"73","30 يوم","96092000","30 days"
"74","30 يوم","96099000","30 days"
"75","30 يوم","96100000","30 days"
"76","30 يوم","96110000","30 days"
"77","30 يوم","96122000","30 days"
"78","30 يوم","06029000","30 days"
"79","30 يوم","07011000","30 days"
"80","30 يوم","07131010","30 days"
"81","30 يوم","07133110","30 days"
"82","30 يوم","07133210","30 days"
"83","30 يوم","07133310","30 days"
"84","30 يوم","07133510","30 days"
"85","30 يوم","07133910","30 days"
"86","30 يوم","07135010","30 days"
"87","30 يوم","10051000","30 days"
"88","30 يوم","10071000","30 days"
"89","30 يوم","12011000","30 days"
"90","30 يوم","12023000","30 days"
"91","30 يوم","12059000","30 days"
"92","30 يوم","12075000","30 days"
"93","30 يوم","12091000","30 days"
"94","30 يوم","12092100","30 days"
"95","30 يوم","12092200","30 days"
"96","30 يوم","12092300","30 days"
"97","30 يوم","12092400","30 days"
"98","30 يوم","12092500","30 days"
"99","30 يوم","12092900","30 days"
"100","30 يوم","12099100","30 days"
"101","30 يوم","12099900","30 days"
"102","30 يوم","33029000","30 days"
"103","30 يوم","31023000","30 days"
"104","30 يوم","11081900","30 days"
"105","30 يوم","34029000","30 days"
