"id","label","review_en","id_parent_3_id","review","review_value","label_en"
"01012100","خيول أصيلة للأنسال",,"0101",,,"Pure-bred breeding horses"
"01012900","خيول، حمير، بغال، نغال، حية: خيول: غيرها",,"0101",,,"Live horses (excl. pure-bred for breeding)"
"01013000","حمير",,"0101",,,"Live asses"
"01019000","خيول وحمير وبغال ونغال, حية عدا (عدا العرق النقي للأنسال) : غيرها",,"0101",,,"Live mules and hinnies"
"01022100","أبقار أليفة أصيلة للأنسال",,"0102",,,"Pure-bred cattle for breeding"
"01022900","حيوانات حية من فصيلة الأبقار: أبقار: غيرها",,"0102",,,"Live cattle (excl. pure-bred for breeding)"
"01023100","جواميس أصيلة للأنسال",,"0102",,,"Pure-bred buffalo for breeding"
"01023900","حيوانات حية من فصيلة الأبقار: جواميس: غيرها",,"0102",,,"Live buffalo (excl. pure-bred for breeding)"
"01029000","حيوانات حية من فصيلة الأبقار عدا (عدا العرق النقي للأنسال): غيرها",,"0102",,,"Live bovine animals (excl. cattle and buffalo)"
"01031000","حيوانات حية من فصيلة الخنازير أصيلة للأنسال",,"0103",,,"Pure-bred breeding swine"
"01039100","حيوانات حية من فصيلة الخنازير (عدا العرق النقي للأنسال)  بوزن أقل من 50 كغ",,"0103",,,"Live pure-bred swine, weighing < 50 kg (excl. pure-bred for breeding)"
"01039200","حيوانات حية من فصيلة الخنازير (عدا العرق النقي للأنسال)  تزن  50 كغ أو أكثر",,"0103",,,"Live pure-bred swine, weighing >= 50 kg (excl. pure-bred for breeding)"
"01041000","حيوانات من فصيلة ضأن حية",,"0104",,,"Live sheep"
"01042000","حيوانات من فصيلة ماعز حية",,"0104",,,"Live goats"
"01051100","ديوك و دجاجات , من فصيلة غالوس دومستيكاس ""Gallus Domesticus "" بوزن لا يزيد عن  185 غ",,"0105",,,"Live fowls of the species Gallus domesticus, weighing <= 185 g (excl. turkeys and guinea fowls)"
"01051200","ديوك و دجاج رومي: بوزن لا يزيد عن  185 غ",,"0105",,,"Live domestic turkeys, weighing <= 185 g"
"01051300","بط: بوزن لا يزيد عن 185 غ",,"0105",,,"Live domestic ducks, weighing <= 185 g"
"01051400","إوز : بوزن لا يزيد عن 185 غ",,"0105",,,"Live domestic geese, weighing <= 185 g"
