"id","note_a","note_b","additional_note","id_fee_id","name_a","name_addition","name_b","additional_note_en","name_a_en","name_addition_en","name_b_en","note_a_en","note_b_en"
"1",,,"يطبق الرسم المخفض ضمن الشروط والتحفظات التي تحددها إدارة الجمارك","07011000",,,"ملاحظة إضافية 1",NULL,NULL,NULL,NULL,NULL,NULL
"10",,,"""يقصد بعبارة """"توت عادي"""" الواردة في نص البند الفرعي 081020( توت الأشجار""""Mulberries )""""كما ورد في نص نفس البند باللغة الإنكليزية """"Blackberry """"ولم تترجم هذه العبارة الى اللغة العربية ويقصد بها(التوت الشوكي).""","08102000",,,"ملاحظة إضافية 3",NULL,NULL,NULL,NULL,NULL,NULL
"100",,,"تتألف عملية شغل الزجاج بصرياً من شحذ سطوحه بمواد شاحذة خشنة أولا ثم بأنعم فأنعم تدريجياً وهكذا تتعاقب العمليات من تخشين إلى تقويم فتنعيم فصقل تبقى داخلة في البندين 70.05 و 70.06 الأصناف المعالجة بعملية واحدة أو أكثر من العمليات السابقة للصقل، غير أن الأصناف المصقول منها وجه واحد أو أكثر صقلا كلياً أو جزئياً  للحصول على الخواص البصرية المطلوبة مستثناة منهما (البند 90.01 أو 90.02 وفقاً  لما إذا كانت مركبة أو غير مركبة - راجع شرح البندين).ينطبق ذلك أيضاً على مشتملات البند 7015.","70151000",,,"ملاحظة إضافية 3",NULL,NULL,NULL,NULL,NULL,NULL
"101",,,"""ورد في نص البند الفرعي 7019.11 عبارة """"جدائل مقطعة"""" ترجمة لعبارة """" chopped strands """"وتبيّن أن كلمة """"strand """"تعني وفقاً  لمعجم المورد: أي من الخيوط  المجدولة التي تشكل حبلاً   كما ورد نفس المعنى في معجم """" THE SHORTER OXFORD"""" ويتفق ذلك أيضاً مع العبارة الواردة في النص الفرنسي لنفس البند الفرعي """"fils coupes"""" أي خيوط مقطعة. إن النص الفرنسي للبند الفرعي 7019.11 Meches,stratifils (rovings) et fils, coupes ou non استبدل بموجب تعديل 2002 بعبارة: Fils coupes(chopped strands) , d'une longueur n'excedant pas 50mm  أي"""" خيوط مقطعة لا يتجاوز طولها 50 ملم""""""","70191100",,,"ملاحظة إضافية 5",NULL,NULL,NULL,NULL,NULL,NULL
"102",,,"""ورد في النص الإنكليزي للبند الفرعي :7112.30""""رماد يحتوي على معادن ثمينة أومركبَّات المعادن الثمينة"""" بينما جاء في النص الفرنسي """"رماد يحتوي على معادن ثمينة أومركبَّات المعادن الثمينة، باستثناء تراب الصياغة (رماد المصوغات """" cendres d'orfevre"""" ""","71123000",,,"ملاحظة إضافية 1",NULL,NULL,NULL,NULL,NULL,NULL
"103",,,"""يقصد بعبارة """" دعامات عريضة """" الواردة في نص البند 73.01 والبند الفرعي 7301.10 (ألواح ذات مقاطع لها شكل خاص جداً ومصممة للتجميع معاً """"Palplanches"""").""","73011000",,,"ملاحظة إضافية 4 ",NULL,NULL,NULL,NULL,NULL,NULL
"104",,,"""وردت في نص البند 73.17 عبارة """" مشابك خارزة """" ترجمة لكلمة """"staples """"وهي تعني مسمار مزدوج السن له شكل الحرف""""U"""" أوسلك صغير له نفس الشكل معد ليغرز طرفاه في مجموعة أوراق ثم يلويان إلا أن الأسالك التي هي من نفس النوع والشكل المجمّعة بشكل أمشاط جاهزة للاستعمال في آلات الخرز تدخل في البند8305.""","73170000",,,"ملاحظة إضافية 3",NULL,NULL,NULL,NULL,NULL,NULL
"105",,,"""ورد في نص البند الفرعي7318.13 عبارة """" براغي برؤوس حلقية """" وهي تعرف في الأسواق المحلية تحت تسمية """"رزّة أو رزّات""""""","73181300",,,"ملاحظة إضافية 5",NULL,NULL,NULL,NULL,NULL,NULL
"106",,,"""إن عبارة """"النحاس الأحمر"""" هي التسمية الشائعة للنحاس النقي (فيما يقابل تسمية النحاس الأصفر) وورد ذكرها في البنود الفرعية للفصل الرابع والسبعين من جدول الرسوم الجمركية الصادر في دمشق عام 1989""","74031100",,,"ملاحظة إضافية 8",NULL,NULL,NULL,NULL,NULL,NULL
"107",,,"""إن عبارة """"النحاس الأحمر"""" هي التسمية الشائعة للنحاس النقي (فيما يقابل تسمية النحاس الأصفر) وورد ذكرها في البنود الفرعية للفصل الرابع والسبعين من جدول الرسوم الجمركية الصادر في دمشق عام 1990""","74031200",,,"ملاحظة إضافية 8",NULL,NULL,NULL,NULL,NULL,NULL
"108",,,"""إن عبارة """"النحاس الأحمر"""" هي التسمية الشائعة للنحاس النقي (فيما يقابل تسمية النحاس الأصفر) وورد ذكرها في البنود الفرعية للفصل الرابع والسبعين من جدول الرسوم الجمركية الصادر في دمشق عام 1991""","74031300",,,"ملاحظة إضافية 8",NULL,NULL,NULL,NULL,NULL,NULL
"109",,,"""إن عبارة """"النحاس الأحمر"""" هي التسمية الشائعة للنحاس النقي (فيما يقابل تسمية النحاس الأصفر) وورد ذكرها في البنود الفرعية للفصل الرابع والسبعين من جدول الرسوم الجمركية الصادر في دمشق عام 1992""","74031900",,,"ملاحظة إضافية 8",NULL,NULL,NULL,NULL,NULL,NULL
"11",,,"""يقصد بعبارة """"توت عادي"""" الواردة في نص البند الفرعي 081020( توت الأشجار""""Mulberries )""""كما ورد في نص نفس البند باللغة الإنكليزية """"Blackberry """"ولم تترجم هذه العبارة الى اللغة العربية ويقصد بها(التوت الشوكي).""","08112000",,,"ملاحظة إضافية 3",NULL,NULL,NULL,NULL,NULL,NULL
"110",,,"""إن عبارة """"النحاس الأحمر"""" هي التسمية الشائعة للنحاس النقي (فيما يقابل تسمية النحاس الأصفر) وورد ذكرها في البنود الفرعية للفصل الرابع والسبعين من جدول الرسوم الجمركية الصادر في دمشق عام 1989""","74071000",,,"ملاحظة إضافية 8",NULL,NULL,NULL,NULL,NULL,NULL
"111",,,"""إن عبارة """"النحاس الأحمر"""" هي التسمية الشائعة للنحاس النقي (فيما يقابل تسمية النحاس الأصفر) وورد ذكرها في البنود الفرعية للفصل الرابع والسبعين من جدول الرسوم الجمركية الصادر في دمشق عام 1989""","74081100",,,"ملاحظة إضافية 8",NULL,NULL,NULL,NULL,NULL,NULL
"112",,,"""إن عبارة """"النحاس الأحمر"""" هي التسمية الشائعة للنحاس النقي (فيما يقابل تسمية النحاس الأصفر) وورد ذكرها في البنود الفرعية للفصل الرابع والسبعين من جدول الرسوم الجمركية الصادر في دمشق عام 1990""","74081900",,,"ملاحظة إضافية 8",NULL,NULL,NULL,NULL,NULL,NULL
"113",,,"""إن عبارة """"النحاس الأحمر"""" هي التسمية الشائعة للنحاس النقي (فيما يقابل تسمية النحاس الأصفر) وورد ذكرها في البنود الفرعية للفصل الرابع والسبعين من جدول الرسوم الجمركية الصادر في دمشق عام 1989""","74091100",,,"ملاحظة إضافية 8",NULL,NULL,NULL,NULL,NULL,NULL
"114",,,"""إن عبارة """"النحاس الأحمر"""" هي التسمية الشائعة للنحاس النقي (فيما يقابل تسمية النحاس الأصفر) وورد ذكرها في البنود الفرعية للفصل الرابع والسبعين من جدول الرسوم الجمركية الصادر في دمشق عام 1990""","74091900",,,"ملاحظة إضافية 8",NULL,NULL,NULL,NULL,NULL,NULL
"115",,,"""إن عبارة """"النحاس الأحمر"""" هي التسمية الشائعة للنحاس النقي (فيما يقابل تسمية النحاس الأصفر) وورد ذكرها في البنود الفرعية للفصل الرابع والسبعين من جدول الرسوم الجمركية الصادر في دمشق عام 1989""","74101100",,,"ملاحظة إضافية 8",NULL,NULL,NULL,NULL,NULL,NULL
"116",,,"""إن عبارة """"النحاس الأحمر"""" هي التسمية الشائعة للنحاس النقي (فيما يقابل تسمية النحاس الأصفر) وورد ذكرها في البنود الفرعية للفصل الرابع والسبعين من جدول الرسوم الجمركية الصادر في دمشق عام 1989""","74111000",,,"ملاحظة إضافية 8",NULL,NULL,NULL,NULL,NULL,NULL
"117",,,"""إن عبارة """"النحاس الأحمر"""" هي التسمية الشائعة للنحاس النقي (فيما يقابل تسمية النحاس الأصفر) وورد ذكرها في البنود الفرعية للفصل الرابع والسبعين من جدول الرسوم الجمركية الصادر في دمشق عام 1989""","74121000",,,"ملاحظة إضافية 8",NULL,NULL,NULL,NULL,NULL,NULL
"118",,,"""لتطبيق أحكام البند 74.15 و 7415.10 يقصد بعبارة """" دبابيس ورق الرسم """" مسامير صغيرة ذات رأس كبير وساق قصير ودقيق و نهاية حادة مصممة للغرز يدويّا. كما يقصد بعبارة """" مشابك خارزة """" مسمار مزدوج السن له شكل حرف """"U """"وكذلك أيضاً سلك صغير له نفس الشكل يغرز طرفاه في مجموعة من الورق ثم يلويان إلا أن الأسلاك التي هي من نفس النوع والشكل مجمّعة بشكل أمشاط جاهزة للاستعمال في آلات الخرز تدخل في البند 83.05 .""","74151000",,,"ملاحظة إضافية 3",NULL,NULL,NULL,NULL,NULL,NULL
"119",,,"""إن تعبير""""مبصومة"""" يقصد به (المنقوشة بالضغط """"Estamped)"""".""","74192000",,,"ملاحظة إضافية 9",NULL,NULL,NULL,NULL,NULL,NULL
"12",,,"""كما يقصد بكلمة """"دخن"""" الواردة في نص البند الفرعي 100820( ذرة عويجة).""","10082100",,,"ملاحظة إضافية 3",NULL,NULL,NULL,NULL,NULL,NULL
"120",,,"""ورد تعبير""""رقائق"""" في نص البند 76.03 وفي نص البند الفرعي7603.20 ويقصد بها رقائق صغيرة (""""flakes"""").""","76032000",,,"ملاحظة إضافية 6",NULL,NULL,NULL,NULL,NULL,NULL
"121",,,"""ورد تعبير""""رقائق"""" في نص البند 78.04 وفي نص البند الفرعي7804.20 ويقصد بها رقائق صغيرة (بشرة """"flakes)""","78042000",,,"ملاحظة إضافية 5",NULL,NULL,NULL,NULL,NULL,NULL
"122",,,"""وردت عبارة """" أشكال خاصة """" في نص البند 7904  من جدول التعريفة وفق النظام المنسّق وفق تعديلات 1966 الصادر عن """"إدارة المال والاستثمار، الإدارة العامة للشؤون الاقتصادية لدى الأمانة العامة لجامعة الدول العربية """" ترجمة لكلمة (بروفيلات """" profiles """") وقد عرف معجم لاروس الصغير ( petit Larousse illustre  """" طبعة 1989"""") كلمة بروفيليه بأنها: """" منتجات معدنية ذات أطوال كبيرة، لها مقطع ثابت ذو شكل محدد: Profile# #n.m.Produit metallurgique de grande longueur, ayant une section constant et de forme determine  وقد وردت ترجمة الكلمة المذكورة في معجم المنهل طبعة 1985 كما يلي: مجنّب (معطى جانبية معينة) قضيب ذو جانبية معينة كما وردت ترجمة الكلمة المذكورة في معجم المورد طبعة :1994الجانبية أو المظهر الجانبي كما وردت ترجمة """"بروفيل"""": جانبية أو مقطع.والمهم هو التركيز على أن الشكل الخاص هو شكل المقطع وليس شكل المنتج ككل.""","79040000",,,"ملاحظة إضافية 3",NULL,NULL,NULL,NULL,NULL,NULL
